GISJOIN,STATE,STATEFP,STATENH,A00AA1790,A00AA1800,A00AA1810,A00AA1820,A00AA1830,A00AA1840,A00AA1850,A00AA1860,A00AA1870,A00AA1880,A00AA1890,A00AA1900,A00AA1910,A00AA1920,A00AA1930,A00AA1940,A00AA1950,A00AA1960,A00AA1970,A00AA1980,A00AA1990,A00AA2000,A00AA2010,A00AA2020
"G010","Alabama","01","010",,,,127901,309527,590756,771623,964201,996992,1262505,1513017,1828697,2138093,2348174,2646248,2832961,3061743,3266740,3444165,3893888,4040587,4447100,4779736,5024279
"G020","Alaska","02","020",,,,,,,,,,,,,,,,,,226167,300382,401851,550043,626932,710231,733391
"G025","Alaska Territory",,"025",,,,,,,,,,33426,32052,63592,64356,55036,59278,72524,128643,,,,,,,
"G040","Arizona","04","040",,,,,,,,,,,,,,334162,435573,499261,749587,1302161,1770900,2718215,3665228,5130632,6392017,7151502
"G045","Arizona Territory",,"045",,,,,,,,,9658,40440,59620,122931,204354,,,,,,,,,,,
"G050","Arkansas","05","050",,,,,,97574,209897,435450,484471,802525,1128179,1311564,1574449,1752204,1854482,1949387,1909511,1786272,1923295,2286435,2350725,2673400,2915918,3011524
"G055","Arkansas Territory",,"055",,,,14273,30388,,,,,,,,,,,,,,,,,,,
"G060","California","06","060",,,,,,,92597,379994,560247,864694,1208130,1485053,2377549,3426861,5677251,6907387,10586224,15717204,19953134,23667902,29760021,33871648,37253956,39538223
"G080","Colorado","08","080",,,,,,,,,,194327,412198,539700,799024,939629,1035791,1123296,1325089,1753947,2207259,2889964,3294394,4301261,5029196,5773714
"G085","Colorado Territory",,"085",,,,,,,,34277,39864,,,,,,,,,,,,,,,
"G090","Connecticut","09","090",237655,251002,261942,275248,297675,309978,370792,460147,537454,622700,746258,908420,1114756,1380631,1606903,1709242,2007280,2535234,3031709,3107576,3287116,3405565,3574097,3605944
"G095","Dakota Territory",,"095",,,,,,,,4837,14181,135177,,,,,,,,,,,,,,
"G100","Delaware","10","100",59096,64273,72674,72749,76748,78085,91532,112216,125015,146608,168493,184735,202322,223003,238380,266505,318085,446292,548104,594338,666168,783600,897934,989948
"G110","District of Columbia","11","110",,14093,24023,33039,39834,43712,51687,75080,131700,177624,230392,278718,331069,437571,486869,663091,802178,763956,756510,638333,606900,572059,601723,689545
"G120","Florida","12","120",,,,,,,87445,140424,187748,269493,391422,528542,752619,968470,1468211,1897414,2771305,4951560,6789443,9746324,12937926,15982378,18801310,21538187
"G125","Florida Territory",,"125",,,,,34730,54477,,,,,,,,,,,,,,,,,,
"G130","Georgia","13","130",82548,162686,252433,340989,516823,691392,906185,1057286,1184109,1542180,1837353,2216331,2609121,2895832,2908506,3123723,3444578,3943116,4589575,5463105,6478216,8186453,9687653,10711908
"G150","Hawaii","15","150",,,,,,,,,,,,,,,,,,632772,768561,964691,1108229,1211537,1360301,1455271
"G155","Hawaii Territory",,"155",,,,,,,,,,,,154001,191909,255881,368336,422770,499794,,,,,,,
"G160","Idaho","16","160",,,,,,,,,,,84385,161772,325594,431866,445032,524873,588637,667191,712567,943935,1006749,1293953,1567582,1839106
"G165","Idaho Territory",,"165",,,,,,,,,14999,32610,,,,,,,,,,,,,,
"G170","Illinois","17","170",,,,55211,157445,476183,851470,1711951,2539891,3077871,3826351,4821550,5638591,6485280,7630654,7897241,8712176,10081158,11113976,11426518,11430602,12419293,12830632,12812508
"G175","Illinois Territory",,"175",,,12282,,,,,,,,,,,,,,,,,,,,,
"G178","Indian Territory",,"178",,,,,,,,,,,,392060,,,,,,,,,,,,
"G180","Indiana","18","180",,,,147178,343031,685866,988416,1350428,1680637,1978301,2192404,2516462,2700876,2930390,3238503,3427796,3934224,4662498,5193669,5490224,5544159,6080485,6483802,6785528
"G185","Indiana Territory",,"185",,5641,24520,,,,,,,,,,,,,,,,,,,,,
"G190","Iowa","19","190",,,,,,,192214,674913,1194020,1624615,1911896,2231853,2224771,2404021,2470939,2538268,2621073,2757537,2824376,2913808,2776755,2926324,3046355,3190369
"G195","Iowa Territory",,"195",,,,,,43112,,,,,,,,,,,,,,,,,,
"G200","Kansas","20","200",,,,,,,,,364399,996096,1427096,1470495,1690949,1769257,1880999,1801028,1905299,2178611,2246578,2363679,2477574,2688418,2853118,2937880
"G205","Kansas Territory",,"205",,,,,,,,107206,,,,,,,,,,,,,,,,
"G210","Kentucky","21","210",,220955,406511,564317,687917,779828,982405,1155684,1321011,1648690,1858635,2147174,2289905,2416630,2614589,2845627,2944806,3038156,3218706,3660777,3685296,4041769,4339367,4505836
"G220","Louisiana","22","220",,,,153407,215739,352411,517762,708002,726915,939946,1118587,1381625,1656388,1798509,2101593,2363880,2683516,3257022,3641306,4205900,4219973,4468976,4533372,4657757
"G225","Louisiana Territory",,"225",,,20845,,,,,,,,,,,,,,,,,,,,,
"G230","Maine","23","230",,,,298335,399455,501793,583169,628279,626915,648936,661086,694466,742371,768014,797423,847226,913774,969265,992048,1124660,1227928,1274923,1328361,1362359
"G240","Maryland","24","240",319728,341548,380546,407350,447040,470019,583034,687049,780894,934943,1042390,1188044,1295346,1449661,1631526,1821244,2343001,3100689,3922399,4216975,4781468,5296486,5773552,6177224
"G250","Massachusetts","25","250",475199,574564,700745,523287,610408,737699,994514,1231066,1457351,1783085,2238943,2805346,3366416,3852356,4249614,4316721,4690514,5148578,5689170,5737037,6016425,6349097,6547629,7029917
