"","diocese","date.erected","date.metropolitan","rite","geo.lon","geo.lat"
"1","Baltimore, Maryland","April 6, 1789","April 8, 1808","Latin",-76.6121893,39.2903848
"2","New Orleans, Louisiana","April 25, 1793","July 19, 1850","Latin",-90.0715323,29.9510658
"3","Boston, Massachusetts","April 8, 1808","February 12, 1875","Latin",-71.0597732,42.3584308
"4","Louisville, Kentucky","April 8, 1808","December 10, 1937","Latin",-85.7584557,38.2526647
"5","New York, New York","April 8, 1808","July 19, 1850","Latin",-74.0059731,40.7143528
"6","Philadelphia, Pennsylvania","April 8, 1808","February 12, 1875","Latin",-75.163789,39.952335
"7","Richmond, Virginia","June 19, 1820",,"Latin",-77.4360481,37.5407246
"8","Charleston, South Carolina","July 11, 1820",,"Latin",-79.9309216,32.7765656
"9","Cincinnati, Ohio","June 19, 1821","July 19, 1850","Latin",-84.5120196,39.1031182
"10","St. Louis, Missouri","July 18, 1826","July 20, 1847","Latin",-90.1994042,38.6270025
"11","Mobile, Alabama","May 15, 1829","July 29, 1980","Latin",-88.0430541,30.6943566
"12","Birmingham, Alabama","June 28, 1969",,"Latin",-86.80249,33.5206608
"13","Detroit, Michigan","March 8, 1833","May 22, 1937","Latin",-83.0457538,42.331427
"14","Indianapolis, Indiana","April 12, 1834","October 21, 1944","Latin",-86.158068,39.768403
"15","Dubuque, Iowa","July 28, 1837","June 15, 1893","Latin",-90.6645718,42.5005583
"16","Nashville, Tennessee","July 28, 1837",,"Latin",-86.7833333,36.1666667
"17","Jackson, Mississippi","July 28, 1837",,"Latin",-90.1848103,32.2987573
"18","Los Angeles, California","April 27, 1840","July 11, 1936","Latin",-118.2436849,34.0522342
"19","Pittsburgh","August 11, 1843",,"Latin",-79.9958864,40.4406248
"20","Hartford, Connecticut","September 18, 1843","August 6, 1953","Latin",-72.6850932,41.7637111
"21","Chicago, Illinois","November 28, 1843","September 10, 1880","Latin",-87.6297982,41.8781136
"22","Little Rock, Arkansas","November 28, 1843",,"Latin",-92.2895948,34.7464809
"23","Milwaukee, Wisconsin","November 28, 1843","February 12, 1875","Latin",-87.9064736,43.0389025
"24","Portland, Oregon","July 24, 1846","July 19, 1850","Latin",-122.6762071,45.5234515
"25","Albany, New York","April 23, 1847",,"Latin",-73.7562317,42.6525793
"26","Buffalo, New York","April 23, 1847",,"Latin",-78.8783689,42.8864468
"27","Cleveland, Ohio","April 23, 1847",,"Latin",-81.6954088,41.4994954
